programming_skills_count,ml_skills_count,sql_proficiency,cloud_skills_count,projects_count,certifications_count,experience_years,education_tier,ats_score,resume_match_score,is_employable
7,0,1,0,3,2,1.4,2,56.6,58.1,0
3,1,5,2,5,3,9.0,2,68.5,70.4,1
7,3,5,0,2,3,4.0,2,67.9,54.3,0
8,5,6,4,1,0,2.7,2,59.3,78.6,1
10,0,8,4,5,3,0.5,2,68.1,65.5,1
6,5,10,4,3,0,0.5,2,48.0,57.8,1
10,2,1,4,4,4,0.2,1,66.6,68.0,1
9,2,4,1,3,2,6.0,3,75.4,63.2,1
6,4,10,2,3,2,2.8,2,54.8,57.4,0
9,1,1,4,4,4,3.7,3,58.3,79.4,1
4,2,9,4,3,1,0.1,2,65.0,58.7,0
8,5,7,3,4,1,10.5,2,80.4,75.1,1
11,1,7,2,4,3,5.4,3,75.9,69.3,1
4,2,5,0,5,0,0.7,3,65.7,35.3,0
2,4,7,2,5,2,0.6,2,53.7,43.7,0
10,3,2,2,4,3,0.6,2,75.9,52.0,1
11,4,4,2,1,4,1.1,3,70.8,60.2,1
9,0,7,4,2,2,2.2,2,55.5,67.3,1
5,2,3,4,1,0,1.7,2,53.8,66.9,0
4,0,2,1,4,0,1.0,3,65.7,44.4,0
2,0,10,0,2,1,2.8,2,42.7,47.2,0
1,5,2,3,5,3,0.5,1,44.5,45.1,0
11,1,1,2,2,4,1.0,1,60.9,63.0,0
7,5,5,0,4,2,1.4,2,67.8,46.9,0
6,2,6,0,5,0,1.8,2,65.1,40.1,0
2,0,6,1,2,2,4.6,2,39.7,63.6,0
8,3,9,3,2,4,0.7,2,60.6,69.5,1
11,0,4,2,1,2,2.2,2,63.4,72.6,1
4,3,1,3,2,3,2.7,2,52.2,46.2,0
8,5,6,1,4,1,0.1,1,57.8,50.6,0
7,5,5,4,0,2,2.8,3,56.7,59.7,0
5,1,10,0,0,1,0.6,2,53.1,44.4,0
10,0,6,2,0,4,0.2,4,53.5,55.9,0
10,4,3,4,4,1,8.9,2,70.3,80.4,1
8,5,2,1,0,2,10.1,3,65.9,65.4,1
9,5,6,3,1,2,5.0,2,69.3,70.2,1
5,1,1,0,4,0,1.1,1,55.1,45.0,0
10,3,7,2,5,2,0.3,3,61.0,61.1,1
5,1,7,4,4,1,3.5,3,65.8,73.5,1
2,0,10,4,4,0,1.7,2,60.5,57.8,0
5,2,7,0,2,2,0.4,2,51.7,37.7,0
3,2,10,3,2,2,2.1,2,40.0,54.0,0
7,3,1,1,2,4,0.1,3,53.7,46.3,0
10,5,4,3,3,0,7.2,2,76.2,75.7,1
5,3,7,3,1,4,0.9,2,45.0,58.0,0
8,5,9,3,4,4,3.3,2,71.0,71.0,1
1,5,5,0,4,4,1.1,2,43.4,30.4,0
3,2,2,0,2,3,2.2,3,50.1,33.7,0
3,3,7,1,4,4,2.4,2,53.8,45.9,0
9,1,10,3,5,1,0.6,2,71.9,67.1,1
5,5,1,0,4,2,10.5,2,71.6,56.9,0
9,4,7,1,0,3,4.5,2,60.3,69.8,1
9,4,6,1,5,4,8.4,2,75.1,75.6,1
1,1,7,3,5,2,6.8,2,60.0,50.6,0
2,4,10,2,4,0,2.7,3,51.9,54.8,0
5,0,3,3,3,0,7.6,2,59.7,74.9,1
4,5,3,2,2,2,0.3,2,50.2,62.0,0
10,1,7,1,1,1,0.7,3,62.7,71.7,1
9,3,2,0,1,2,0.1,2,55.5,46.4,0
7,5,1,4,0,2,1.2,3,57.8,70.1,0
6,1,9,1,1,3,1.5,3,54.5,57.3,0
7,2,9,0,1,0,0.9,2,46.6,46.8,0
1,3,7,1,2,0,5.3,2,58.2,48.7,0
1,2,7,3,2,4,1.3,2,48.8,32.2,0
8,5,3,2,3,2,1.0,2,67.6,45.4,0
2,3,10,1,0,2,2.3,3,45.3,30.7,0
10,4,2,0,1,1,0.5,2,46.2,58.5,0
11,1,7,3,3,0,4.9,2,80.5,79.8,1
9,5,9,4,0,1,0.2,2,55.5,65.0,1
7,0,1,3,5,3,13.0,1,84.5,93.5,1
6,3,4,2,1,4,4.4,1,60.6,66.9,0
1,3,6,3,1,1,0.7,3,52.3,33.0,0
1,5,7,4,2,0,0.0,2,38.9,45.3,0
2,5,10,0,4,3,5.1,2,53.9,37.5,0
6,2,7,1,0,2,3.7,2,48.6,58.0,0
6,4,10,2,1,3,3.9,3,50.2,58.8,0
2,2,2,4,0,1,4.4,2,39.7,50.8,0
1,2,4,2,3,0,0.2,3,33.9,51.8,0
10,4,5,3,3,1,1.3,2,69.1,68.3,1
5,0,1,2,4,2,0.4,3,68.5,47.3,0
