experience_years,education_tier,skills_count,job_role,location_tier,certifications_count,projects_count,technical_expertise_score,salary
18.6,1,14,Software Engineer,3,1,4,9.7,211400.0
2.8,1,8,Software Engineer,2,2,4,5.3,131200.0
0.5,3,12,Data Scientist,3,5,6,6.4,133700.0
2.5,1,8,Full Stack Engineer,1,0,1,4.1,144600.0
0.8,2,10,Data Scientist,2,1,7,5.2,140000.0
3.6,3,21,Frontend Engineer,2,1,4,6.9,144000.0
4.7,2,21,Machine Learning Engineer,2,0,0,6.5,173100.0
2.5,1,23,DevOps Engineer,2,3,3,7.0,144700.0
0.4,3,5,DevOps Engineer,1,2,7,4.8,159300.0
2.5,3,16,DevOps Engineer,1,5,5,7.0,198500.0
0.3,3,16,Frontend Engineer,3,1,7,4.9,102900.0
4.6,2,20,Full Stack Engineer,1,5,4,7.8,195600.0
6.2,2,20,Backend Engineer,2,2,1,8.0,173900.0
13.1,1,9,Frontend Engineer,2,0,1,6.4,178400.0
0.6,2,17,Software Engineer,1,4,7,6.2,149000.0
3.0,2,24,Full Stack Engineer,3,0,5,7.3,124300.0
3.4,3,17,Full Stack Engineer,2,2,0,6.4,142700.0
10.2,2,15,Frontend Engineer,3,1,4,7.8,150900.0
3.9,2,8,Frontend Engineer,1,2,0,6.2,151600.0
0.6,3,8,Data Scientist,2,4,1,5.9,144600.0
2.3,3,7,Data Scientist,3,1,3,4.4,116500.0
4.3,2,16,Software Engineer,3,4,4,7.1,135600.0
4.8,3,7,Cloud Architect,3,3,6,6.5,181600.0
8.0,4,21,Full Stack Engineer,2,5,3,9.6,216000.0
0.8,3,19,DevOps Engineer,1,0,5,5.4,160800.0
12.1,3,21,Backend Engineer,1,3,4,9.4,265100.0
0.2,3,5,Backend Engineer,3,2,1,4.4,97100.0
16.5,2,7,Full Stack Engineer,3,3,4,9.7,214300.0
7.8,2,23,Software Engineer,2,0,1,8.4,174000.0
4.3,2,20,DevOps Engineer,1,1,2,7.2,182700.0
5.3,1,23,Data Scientist,2,5,1,7.9,177000.0
0.3,2,9,Data Scientist,1,4,1,5.2,151900.0
0.2,2,21,Data Scientist,2,1,5,5.7,142400.0
0.4,2,23,Backend Engineer,1,5,4,8.2,166600.0
0.4,3,10,Backend Engineer,3,3,3,5.0,103200.0
3.2,3,16,Software Engineer,1,2,1,7.1,161900.0
1.0,1,12,Backend Engineer,2,3,7,5.2,131400.0
7.9,2,5,Frontend Engineer,1,0,4,5.3,192200.0
2.4,3,11,Backend Engineer,2,0,1,5.2,135900.0
4.8,3,17,Data Scientist,2,2,0,7.8,178000.0
4.2,3,21,Software Engineer,3,5,7,8.0,150600.0
1.5,4,4,Full Stack Engineer,1,1,0,2.6,147100.0
1.1,4,12,Full Stack Engineer,1,0,0,3.8,136800.0
1.7,2,12,Software Engineer,3,0,7,5.0,111800.0
6.4,2,5,Frontend Engineer,1,2,0,4.9,166500.0
3.5,3,19,Full Stack Engineer,1,1,3,5.9,183100.0
1.2,2,7,Data Scientist,2,3,7,5.0,142100.0
6.8,3,16,Full Stack Engineer,2,4,5,6.4,190300.0
